time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-10-17T13:04:04.185Z,-26.0345,-71.1404,14.87,4.4,mwr,,141,0.5,0.59,us,us6000fvf1,2021-10-17T13:45:02.040Z,"95 km SW of Taltal, Chile",earthquake,4.1,4,,,reviewed,us,guc
2021-10-17T12:47:09.100Z,18.0116,-68.481,70,3.68,md,17,248,0.5121,0.28,pr,pr2021290008,2021-10-17T13:46:29.489Z,"42 km SSE of Boca de Yuma, Dominican Republic",earthquake,2.79,2.76,0.05,6,reviewed,pr,pr
2021-10-17T12:20:53.888Z,51.6574,16.168,9.8,4.2,mb,,50,2.01,0.57,us,us6000fvet,2021-10-17T16:22:25.670Z,"5 km E of Głogów, Poland",earthquake,6.8,5.8,0.166,10,reviewed,us,us
2021-10-17T12:05:18.385Z,49.2314,155.9782,54.2,5,mb,,117,4.03,0.79,us,us6000fver,2021-10-17T12:24:09.040Z,"160 km S of Severo-Kuril’sk, Russia",earthquake,8.7,5,0.035,265,reviewed,us,us
2021-10-17T09:44:34.310Z,18.8390007019043,-155.492492675781,14.2399997711182,2.72,ml,50,279,,0.180000007,hv,hv72759627,2021-10-17T09:55:14.267Z,"26 km SSE of Naalehu, Hawaii",earthquake,3,4.51999998,3.76,23,automatic,hv,hv
2021-10-17T09:12:39.660Z,17.9228,-66.6903,32,2.87,md,23,175,0.1465,0.24,pr,pr2021290006,2021-10-17T15:35:13.656Z,"8 km SSE of Tallaboa, Puerto Rico",earthquake,0.71,0.62,0.21,20,reviewed,pr,pr
2021-10-17T08:49:14.330Z,17.9443,-66.8491,11,2.78,md,22,178,0.1967,0.11,pr,pr2021290005,2021-10-17T09:51:05.842Z,"5 km SE of Maria Antonia, Puerto Rico",earthquake,0.4,0.57,0.1,7,reviewed,pr,pr
2021-10-17T08:30:30.855Z,58.7867,-152.7302,49.5,2.5,ml,,,,0.48,ak,ak021dbqslwk,2021-10-17T09:29:00.713Z,"78 km SW of Nanwalek, Alaska",earthquake,,0.9,,,automatic,ak,ak
2021-10-17T07:38:47.674Z,-11.9145,167.0293,79.26,4.4,mb,,186,3.515,0.61,us,us6000fvdb,2021-10-17T08:30:22.040Z,"188 km SE of Lata, Solomon Islands",earthquake,8.2,12.8,0.138,17,reviewed,us,us
2021-10-17T07:29:43.520Z,-23.9741,-67.0051,219.92,4.4,mb,,93,1.482,0.82,us,us6000fvda,2021-10-17T08:02:03.040Z,"74 km WNW of San Antonio de los Cobres, Argentina",earthquake,8.5,9.5,0.162,12,reviewed,us,us
